rank,player,team,clay_pos_rk,clay_ff_pts,clay_games,clay_rush_att,clay_rush_yds,clay_rush_tds,clay_targets,clay_receptions,clay_rec_yds,clay_rec_tds,clay_carry_share,clay_target_share,mkt_receptions,mkt_rec_yds,mkt_rec_tds,mkt_book,mkt_as_of,adj_targets,adj_receptions,adj_rec_yds,adj_rec_tds,adj_rush_yds,adj_rush_tds,ppr_clay_17g,ppr_clay_propadj,ppr_market,mkt_minus_clay17,mkt_minus_clayadj,ppr_per_game_propadj,proj_source,proj_as_of,propadj_method
64,Ben Sinnott,WAS,63.0,27.0,17.0,0.0,0.0,0.0,15.0,11.0,107.0,1.0,0.0,3.0,,,,,,13.2,9.7,94.4,0.9,0.0,0.0,27.7,24.54,,,,1.44,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
65,Jeremy Ruckert,NYJ,66.0,25.0,17.0,0.0,0.0,0.0,16.0,12.0,96.0,1.0,0.0,3.0,,,,,,14.1,10.6,84.7,0.9,0.0,0.0,27.6,24.47,,,,1.44,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
66,Luke Musgrave,GB,67.0,24.0,17.0,0.0,0.0,0.0,16.0,11.0,102.0,1.0,0.0,3.0,,,,,,14.1,9.7,90.0,0.9,0.0,0.0,27.2,24.1,,,,1.42,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
67,Durham Smythe,BLT,68.0,24.0,17.0,0.0,0.0,0.0,14.0,10.0,94.0,1.0,0.0,3.0,,,,,,12.4,8.8,82.9,0.9,0.0,0.0,25.4,22.49,,,,1.32,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
68,Daniel Bellinger,TEN,64.0,27.0,17.0,0.0,0.0,0.0,17.0,13.0,112.0,0.0,0.0,3.0,,,,,,15.0,11.5,98.8,0.0,0.0,0.0,24.2,21.38,,,,1.26,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
69,Foster Moreau,HST,70.0,19.0,17.0,0.0,0.0,0.0,11.0,8.0,79.0,1.0,0.0,2.0,,,,,,9.7,7.1,69.7,0.9,0.0,0.0,21.9,19.47,,,,1.15,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
70,Davis Allen,LAR,69.0,20.0,17.0,0.0,0.0,0.0,11.0,8.0,74.0,1.0,0.0,2.0,,,,,,9.7,7.1,65.3,0.9,0.0,0.0,21.4,19.03,,,,1.12,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
71,Nate Boerkircher,JAX,73.0,18.0,17.0,0.0,0.0,0.0,11.0,8.0,73.0,1.0,0.0,2.0,,,,,,9.7,7.1,64.4,0.9,0.0,0.0,21.3,18.94,,,,1.11,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
72,Brock Wright,DET,72.0,19.0,17.0,0.0,0.0,0.0,11.0,8.0,72.0,1.0,0.0,2.0,,,,,,9.7,7.1,63.5,0.9,0.0,0.0,21.2,18.85,,,,1.11,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
73,Nate Adkins,DEN,71.0,19.0,17.0,0.0,0.0,0.0,11.0,8.0,69.0,1.0,0.0,2.0,,,,,,9.7,7.1,60.9,0.9,0.0,0.0,20.9,18.59,,,,1.09,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
74,Payne Durham,TB,74.0,18.0,17.0,0.0,0.0,0.0,11.0,7.0,71.0,1.0,0.0,2.0,,,,,,9.7,6.2,62.6,0.9,0.0,0.0,20.1,17.86,,,,1.05,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
75,Joe Royer,CLV,75.0,16.0,17.0,0.0,0.0,0.0,10.0,8.0,67.0,0.0,0.0,2.0,,,,,,8.8,7.1,59.1,0.0,0.0,0.0,14.7,13.01,,,,0.77,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
76,Ben Sims,MIA,76.0,15.0,17.0,0.0,0.0,0.0,10.0,7.0,65.0,0.0,0.0,2.0,,,,,,8.8,6.2,57.4,0.0,0.0,0.0,13.5,11.94,,,,0.7,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
77,Luke Farrell,SF,77.0,10.0,17.0,0.0,0.0,0.0,6.0,4.0,41.0,0.0,0.0,1.0,,,,,,5.3,3.5,36.2,0.0,0.0,0.0,8.1,7.12,,,,0.42,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
78,Max Klare,LAR,78.0,10.0,17.0,0.0,0.0,0.0,6.0,4.0,38.0,0.0,0.0,1.0,,,,,,5.3,3.5,33.5,0.0,0.0,0.0,7.8,6.85,,,,0.4,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
79,Justin Joly,DEN,79.0,10.0,17.0,0.0,0.0,0.0,6.0,4.0,38.0,0.0,0.0,1.0,,,,,,5.3,3.5,33.5,0.0,0.0,0.0,7.8,6.85,,,,0.4,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
80,Brevyn Spann-Ford,DAL,80.0,9.0,17.0,0.0,0.0,0.0,6.0,4.0,37.0,0.0,0.0,1.0,,,,,,5.3,3.5,32.6,0.0,0.0,0.0,7.7,6.76,,,,0.4,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
